"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","1186","","UserAuthorizationTest","","UserAuthorizationTest","","checkFailureAuthorizationUser",""
"passed","","","2223","","CreatingOrderTest","","CreatingOrderTest","","checkFailureCreatingOrderWithoutIngredients",""
"passed","","","4831","","GetUserOrdersTest","","GetUserOrdersTest","","checkFailureGettingUserOrders",""
"passed","","","1979","","UserAuthorizationTest","","UserAuthorizationTest","","checkSuccessfulAuthorizationUser",""
"passed","","","952","","ChangeUserDataTest","","ChangeUserDataTest","","changeUserDataFailureTest",""
"passed","","","3268","","CreatingOrderTest","","CreatingOrderTest","","checkFailureCreatingOrderWithWrongHash",""
"passed","","","695","","CreatingUserTest","","CreatingUserTest","","checkSuccessfulCreatingUser",""
"passed","","","239","","CreatingUserTest","","CreatingUserTest","","checkFailureCreatedUser",""
"passed","","","916","","CreatingUserTest","","CreatingUserTest","","checkAlreadyCreatedUser",""
"passed","","","2550","","CreatingOrderTest","","CreatingOrderTest","","checkSuccessfullyCreatingOrderWithAuthAndIngredients",""
"passed","","","3295","","ChangeUserDataTest","","ChangeUserDataTest","","changeUserDataSuccessfullyWithAuthTest",""
"failed","","","1129","","CreatingOrderTest","","CreatingOrderTest","","checkFailureCreatingOrderWithoutAuth",""
"passed","","","1670","","GetUserOrdersTest","","GetUserOrdersTest","","checkSuccessfulGettingUserOrders",""
